name,system_a,system_b,n01,n10,n_discordant,net_edge,discordance_rate,p_value,adjusted_p_value,verdict,separable,bootstrap_low,bootstrap_high,bootstrap_estimate,bootstrap_level,bootstrap_n_resamples,bootstrap_seed,bootstrap_unit,mde_status,mde_rate_difference,mde_instances,mde_max_attainable_power,required_net_edge_at_observed
rank_1_vs_2,20251215_livesweagent_claude-opus-4-5,20251205_sonar-foundation-agent_claude-opus-4-5,18,18,36,0,0.072,1.000,1.000,NOT RESOLVED,false,-0.022,0.024,0.000,0.95,10000,2026072700,instance,attainable,0.035,17.4,1.000,20
rank_2_vs_3,20251205_sonar-foundation-agent_claude-opus-4-5,20250928_trae_doubao_seed_code,31,33,64,2,0.128,0.901,1.000,NOT RESOLVED,false,-0.028,0.036,0.004,0.95,10000,2026072701,instance,attainable,0.046,23.0,1.000,26
rank_3_vs_4,20250928_trae_doubao_seed_code,20251120_livesweagent_gemini-3-pro-preview,29,36,65,7,0.130,0.457,1.000,NOT RESOLVED,false,-0.018,0.046,0.014,0.95,10000,2026072702,instance,attainable,0.046,23.2,1.000,25
rank_4_vs_5,20251120_livesweagent_gemini-3-pro-preview,20250902_atlassian-rovo-dev,25,28,53,3,0.106,0.784,1.000,NOT RESOLVED,false,-0.022,0.034,0.006,0.95,10000,2026072703,instance,attainable,0.042,20.9,1.000,23
rank_5_vs_6,20250902_atlassian-rovo-dev,20250804_epam-ai-run-claude-4-sonnet,28,28,56,0,0.112,1.000,1.000,NOT RESOLVED,false,-0.030,0.030,0.000,0.95,10000,2026072704,instance,attainable,0.043,21.5,1.000,24
rank_6_vs_7,20250804_epam-ai-run-claude-4-sonnet,20260217_mini-v2.0.0_claude-4-5-opus-high,33,33,66,0,0.132,1.000,1.000,NOT RESOLVED,false,-0.032,0.032,0.000,0.95,10000,2026072705,instance,attainable,0.047,23.4,1.000,26
rank_7_vs_8,20260217_mini-v2.0.0_claude-4-5-opus-high,20250819_ACoder,31,33,64,2,0.128,0.901,1.000,NOT RESOLVED,false,-0.026,0.036,0.004,0.95,10000,2026072706,instance,attainable,0.046,23.0,1.000,26
rank_8_vs_9,20250819_ACoder,20260217_mini-v2.0.0_gemini-3-flash-high,30,33,63,3,0.126,0.801,1.000,NOT RESOLVED,false,-0.026,0.036,0.006,0.95,10000,2026072707,instance,attainable,0.046,22.8,1.000,25
rank_9_vs_10,20260217_mini-v2.0.0_gemini-3-flash-high,20260217_mini-v2.0.0_minimax-2-5-high,28,28,56,0,0.112,1.000,1.000,NOT RESOLVED,false,-0.028,0.030,0.000,0.95,10000,2026072708,instance,attainable,0.043,21.5,1.000,24
rank_10_vs_11,20260217_mini-v2.0.0_minimax-2-5-high,20250901_warp,37,38,75,1,0.150,1.000,1.000,NOT RESOLVED,false,-0.032,0.036,0.002,0.95,10000,2026072709,instance,attainable,0.050,24.9,1.000,27
rank_11_vs_12,20250901_warp,20260217_mini-v2.0.0_claude-4-6-opus,33,33,66,0,0.132,1.000,1.000,NOT RESOLVED,false,-0.032,0.032,0.000,0.95,10000,2026072710,instance,attainable,0.047,23.4,1.000,26
rank_12_vs_13,20260217_mini-v2.0.0_claude-4-6-opus,20250612_trae,33,35,68,2,0.136,0.904,1.000,NOT RESOLVED,false,-0.028,0.036,0.004,0.95,10000,2026072711,instance,attainable,0.047,23.7,1.000,26
rank_13_vs_14,20250612_trae,20250731_harness_ai,17,19,36,2,0.072,0.868,1.000,NOT RESOLVED,false,-0.020,0.028,0.004,0.95,10000,2026072712,instance,attainable,0.035,17.4,1.000,20
rank_14_vs_15,20250731_harness_ai,20251103_sonar-foundation-agent_claude-sonnet-4-5,26,26,52,0,0.104,1.000,1.000,NOT RESOLVED,false,-0.028,0.028,0.000,0.95,10000,2026072713,instance,attainable,0.041,20.7,1.000,24
rank_15_vs_16,20251103_sonar-foundation-agent_claude-sonnet-4-5,20250720_Lingxi-v1.5_claude-4-sonnet-20250514,28,29,57,1,0.114,1.000,1.000,NOT RESOLVED,false,-0.028,0.030,0.002,0.95,10000,2026072714,instance,attainable,0.043,21.7,1.000,25
rank_16_vs_17,20250720_Lingxi-v1.5_claude-4-sonnet-20250514,20250915_JoyCode,28,28,56,0,0.112,1.000,1.000,NOT RESOLVED,false,-0.028,0.030,0.000,0.95,10000,2026072715,instance,attainable,0.043,21.5,1.000,24
rank_17_vs_18,20250915_JoyCode,20250603_Refact_Agent_claude-4-sonnet,29,30,59,1,0.118,1.000,1.000,NOT RESOLVED,false,-0.028,0.032,0.002,0.95,10000,2026072716,instance,attainable,0.044,22.1,1.000,25
rank_18_vs_19,20250603_Refact_Agent_claude-4-sonnet,20251015_Prometheus_v1.2.1_gpt5,37,37,74,0,0.148,1.000,1.000,NOT RESOLVED,false,-0.034,0.034,0.000,0.95,10000,2026072717,instance,attainable,0.050,24.8,1.000,28
rank_19_vs_20,20251015_Prometheus_v1.2.1_gpt5,20251124_mini-v1.16.0_claude-opus-4-5-20251101,40,40,80,0,0.160,1.000,1.000,NOT RESOLVED,false,-0.034,0.034,0.000,0.95,10000,2026072718,instance,attainable,0.052,25.8,1.000,28
